,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
331,A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
332,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
333,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
334,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
335,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
336,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
337,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
338,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
339,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
340,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
341,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
342,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
343,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
344,U,Wet/Damp,Darkness: Street lights present and lit and lit,Raining without high winds,Car7,Serious
345,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
346,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
347,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
348,A62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
349,M62,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
350,M1,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
351,A654,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
352,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Serious
353,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
354,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
355,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
356,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
357,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
358,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
359,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
360,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
361,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
362,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
363,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
364,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
365,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
366,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
367,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
368,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
369,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
370,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
371,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
372,A656,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
373,A656,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
374,A656,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
375,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
376,A647,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
377,A65,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycleCar,Slight
378,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
379,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
380,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
381,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
382,M1,Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
383,M1,Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
384,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
385,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
386,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
387,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
388,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
389,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
390,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
391,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
392,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
393,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
394,B6159,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
395,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
396,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
397,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
398,A58,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
399,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
400,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
401,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
402,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
403,B6135,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
404,B6135,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
405,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
406,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Fatal
407,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
408,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
409,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
410,A62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
411,A62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
412,A62,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
413,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
414,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
415,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
416,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
417,A660,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
418,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Slight
419,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
420,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
421,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
422,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
423,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
424,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
425,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
426,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
427,A656,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
428,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
429,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
430,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
431,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
432,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
433,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
434,A653,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
435,U,Wet/Damp,Darkness: Street lighting unknown,Raining with high winds,Pedal cycle,Slight
436,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
437,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
438,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
439,B6156,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
440,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
441,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
442,A643,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
443,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
444,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
445,A61,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
446,B6123,Wet/Damp,Daylight: Street lights present,Other,Car,Slight
447,A642,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
448,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
449,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
450,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
451,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
452,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
453,A58,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
454,U,Frost/Ice,Daylight: Street lights present,Raining without high winds,Car,Slight
455,U,Wet/Damp,Daylight: Street lights present,Snowing with high winds,Pedal cycle,Slight
456,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
457,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
458,U,Dry,Daylight: Street lights present,Fine with high winds,Car,Slight
459,A642,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
460,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
461,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
462,A6120,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
463,M62,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
464,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Slight
465,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
466,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
467,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
468,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
469,A660,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
470,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
471,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
472,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
473,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
474,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
475,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
476,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
477,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
478,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
479,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
480,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
481,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
482,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
483,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
484,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
485,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
486,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
487,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
488,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
489,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
490,A643,Dry,Daylight: Street lights present,Other,Car,Serious
491,A643,Dry,Daylight: Street lights present,Other,Car,Serious
492,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
493,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
494,B6152,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
495,B6152,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
496,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
497,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
498,B6129,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
499,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
500,A639,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Serious
501,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
502,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
