,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
261,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
262,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
263,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
264,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
265,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
266,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
267,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
268,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
269,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
270,B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
271,B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
272,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
273,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
274,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
275,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
276,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
277,M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
278,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
279,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
280,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
281,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
282,B6123,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
283,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
284,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
285,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
286,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
287,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
288,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
289,A639,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
290,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
291,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
292,B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
293,B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
294,B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
295,U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Serious
296,U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
297,A65,Wet/Damp,Daylight: Street lights present,Fog or mist (if hazard),Pedal cycle,Slight
